magnitude,mmi,sig,nst,dmin,gap,depth,latitude,longitude
6.5,3.0,653.0,0.0,4.242,14.0,595.98,-19.2814,-63.9047
7.5,5.0,879.0,0.0,4.109,12.0,57.8,48.9638,157.695
6.5,6.0,679.0,698.0,0.0,27.0,30.0,11.763,-86.926
7.2,5.0,798.0,312.0,0.0,21.3,35.0,-11.61,165.762
6.6,6.0,670.0,306.0,0.0,18.5,33.0,-6.001,149.977
6.7,5.0,691.0,272.0,0.0,0.0,33.0,-12.592,166.383
6.9,4.0,732.0,0.0,6.393,12.0,13.0,0.8295,146.169
6.7,8.0,776.0,0.0,2.043,22.0,10.0,51.2407,100.443
7.8,7.0,1111.0,0.0,0.621,60.0,28.0,55.1079,-158.477
7.0,5.0,755.0,578.0,0.0,13.3,9.0,-20.628,168.471
6.8,3.0,712.0,0.0,5.78,12.0,535.0,-23.7852,-179.968
8.6,8.0,1138.0,510.0,0.0,22.1,30.0,2.085,97.108
6.5,4.0,706.0,0.0,2.421,9.0,20.0,37.0052,142.452
6.5,4.0,686.0,0.0,1.218,20.0,20.0,13.8672,-58.5479
7.0,5.0,772.0,271.0,0.0,15.1,26.0,-4.963,133.76
7.2,5.0,876.0,144.0,2.494,40.0,236.0,-14.8628,-70.3081
6.5,6.0,653.0,576.0,0.0,11.7,41.0,-4.651,153.173
7.4,5.0,842.0,409.0,0.0,17.6,35.0,-37.773,-75.048
7.1,5.0,782.0,585.0,0.0,14.7,10.0,-46.676,164.721
6.5,5.0,650.0,586.0,0.0,71.3,25.0,42.45,144.38
6.6,5.0,674.0,0.0,0.507,49.0,19.0,52.6252,-168.15
6.8,7.0,711.0,596.0,0.0,0.0,50.0,34.083,132.526
6.6,2.0,684.0,0.0,1.458,14.0,533.76,-5.6368,110.678
6.5,8.0,1297.0,0.0,2.36,15.0,29.0,-22.6784,25.1558
6.5,2.0,650.0,0.0,4.765,25.0,577.0,-21.9449,-179.511
6.6,5.0,703.0,336.0,0.0,14.1,53.0,32.821,140.395
6.6,6.0,672.0,68.0,5.293,34.0,30.0,-32.6922,-178.959
6.8,6.0,711.0,424.0,0.0,21.4,34.0,29.218,129.782
6.8,5.0,711.0,174.0,0.0,30.2,35.0,-13.298,165.91
6.5,3.0,743.0,0.0,2.719,23.0,529.0,-7.3718,119.802
6.6,6.0,670.0,402.0,0.0,17.7,25.0,-5.437,151.84
6.9,4.0,738.0,0.0,2.697,42.0,10.0,-22.72,170.277
6.6,7.0,670.0,282.0,0.0,46.9,21.0,-37.695,-73.406
6.7,7.0,1551.0,572.0,0.0,11.1,11.0,9.999,123.206
6.8,6.0,790.0,649.0,0.0,27.0,122.9,-2.312,-77.838
6.5,7.0,652.0,0.0,4.797,10.0,9.0,-16.0315,168.143
6.9,9.0,1154.0,335.0,0.0,18.2,8.0,20.687,99.822
6.7,5.0,714.0,0.0,1.925,20.0,23.0,39.8558,142.881
6.8,6.0,715.0,0.0,1.599,19.0,12.59,-8.8994,158.422
6.8,5.0,713.0,348.0,0.0,15.5,40.0,-4.99,153.5
7.3,7.0,820.0,390.0,0.0,23.0,10.0,-4.003,135.023
6.7,5.0,724.0,0.0,0.46,11.0,130.0,13.7641,144.429
7.4,7.0,848.0,365.0,0.0,33.7,30.0,1.271,122.091
6.5,5.0,650.0,0.0,3.702,42.0,10.0,-15.8815,-178.6
6.6,6.0,691.0,0.0,1.984,40.0,40.0,35.5142,23.2523
